name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Rosario, Argentina",2022-06-01,11.7,6.3,8.5,11.7,4.9,8.3,3.4,70.6,0,0,0,,0,0,16.2,8.5,131.3,1021.9,100,11.7,120.6,10.5,5,10,2022-06-01T07:57:09,2022-06-01T18:03:47,0.02,Overcast,Cloudy skies throughout the day.,cloudy,"SAAR,87480099999"
"Rosario, Argentina",2022-06-02,13.8,5.4,8.7,13.8,5.2,8.3,3.2,70.5,0,0,0,,0,0,14.8,11.3,114.4,1024,80.8,11,123.9,10.6,5,10,2022-06-02T07:57:42,2022-06-02T18:03:32,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-06-03,14.9,2.6,8.4,14.9,0,7.4,2.1,66.9,0,0,0,,0,0,39.2,26.1,73,1024,35.4,12.3,131.1,11.1,5,10,2022-06-03T07:58:15,2022-06-03T18:03:20,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-06-04,17,2.7,9.2,17,0.4,8.1,4.5,74.6,0,0,0,,0,0,40.3,14.9,75.5,1017.8,21.3,12.1,133.6,11.5,5,10,2022-06-04T07:58:48,2022-06-04T18:03:08,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-06-05,16.8,2.4,9,16.8,2.1,8.9,6.4,85.9,0,0,0,,0,0,13.3,9.4,173.8,1016,55.4,8,119.8,10.4,5,10,2022-06-05T07:59:19,2022-06-05T18:02:59,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-06-06,17.7,3.5,9.7,17.7,0.6,9,6.1,80.7,0,0,0,,0,0,20.5,13,184.5,1016.5,14.2,9,136.7,11.7,5,10,2022-06-06T07:59:50,2022-06-06T18:02:50,0.19,Clear,Clear conditions throughout the day.,clear-day,"SAAR,87480099999"
"Rosario, Argentina",2022-06-07,16.9,1.4,7.5,16.9,1.4,7.2,6.3,93.2,0,0,0,,0,0,14.8,14.1,112.9,1014.7,43,4.4,134.3,11.5,5,10,2022-06-07T08:00:19,2022-06-07T18:02:44,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-06-08,11,3.1,6.5,11,3.1,6.1,6,96.9,0,0,0,,0,0,10.1,13,62.2,1016.5,73.4,3.6,135.4,11.7,5,10,2022-06-08T08:00:48,2022-06-08T18:02:38,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-06-09,13,4.6,9,13,1.6,8.2,8.1,94.7,0,0,0,,0,0,44.6,18.7,192.2,1019.8,54.3,4.6,129.2,11.2,5,10,2022-06-09T08:01:15,2022-06-09T18:02:35,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-06-10,13,-1.6,5.2,13,-5.2,3.5,-2.9,61.5,0,0,0,,0,0,41,23.3,220.7,1028.5,1.3,11.9,141.7,12.3,6,10,2022-06-10T08:01:42,2022-06-10T18:02:32,0.39,Clear,Clear conditions throughout the day.,clear-day,"SAAR,87480099999"
"Rosario, Argentina",2022-06-11,17,-6.5,4.5,17,-6.5,4.5,-3.4,62.6,0,0,0,,0,0,12.6,13.9,247.8,1025.6,0,10.9,137,11.7,5,10,2022-06-11T08:02:08,2022-06-11T18:02:32,0.44,Clear,Clear conditions throughout the day.,clear-day,"SAAR,87480099999"
"Rosario, Argentina",2022-06-12,21.2,0.4,10,21.2,0.4,9.7,1.5,59.7,0,0,0,,0,0,23.8,13,208.2,1023.1,1.7,11.3,135.6,11.7,5,10,2022-06-12T08:02:32,2022-06-12T18:02:32,0.47,Clear,Clear conditions throughout the day.,clear-day,"SAAR,87480099999"
"Rosario, Argentina",2022-06-13,21,4.6,11.8,21,2.5,11.3,2.5,59.2,0,0,0,,0,0,44.6,29.5,38.2,1020,16.7,12.1,137.2,11.7,5,10,2022-06-13T08:02:56,2022-06-13T18:02:34,0.49,Clear,Clear conditions throughout the day.,clear-day,"SAAR,87480099999"
"Rosario, Argentina",2022-06-14,19.9,4.9,11.5,19.9,2.2,10.6,5.7,70.1,0,0,0,,0,0,45.7,23.3,68,1014.9,75,12.3,124.2,10.7,5,10,2022-06-14T08:03:18,2022-06-14T18:02:38,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-06-15,21,4.8,11.9,21,4.8,11.8,7.8,79.3,0,0,0,,0,0,18.4,10.2,124.8,1014.7,69.2,9.9,100.9,8.6,4,10,2022-06-15T08:03:39,2022-06-15T18:02:43,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-06-16,18.9,5.7,10.9,18.9,4.6,10.3,7.1,79.9,0,0,0,,0,0,15.8,23.3,189.8,1013.1,56.7,10.2,109.4,9.5,5,10,2022-06-16T08:03:59,2022-06-16T18:02:49,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-06-17,16.7,3,9,16.7,-0.4,7.2,0.1,63,0,0,0,,0,0,68.4,46.6,218.9,1015.6,41.3,8.1,132.8,11.4,5,10,2022-06-17T08:04:18,2022-06-17T18:02:57,0.57,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SAAR,87480099999"
"Rosario, Argentina",2022-06-18,19,-4,6.6,19,-6.8,5.6,-2,59.2,0,0,0,,0,0,37.8,24.9,261.7,1018.7,5,11.7,130.5,11.2,5,10,2022-06-18T08:04:35,2022-06-18T18:03:06,0.62,Clear,Clear conditions throughout the day.,clear-day,"SAAR,87480099999"
